temperature,pressure,loading
323,0,0
323,0.02029,0.0179
323,0.03093,0.03137
323,0.04074,0.04371
323,0.05,0.0552
323,0.06202,0.06984
323,0.07087,0.08062
323,0.08123,0.0933
323,0.09104,0.10521
323,0.10182,0.11846
323,0.13112,0.15417
323,0.16152,0.19144
323,0.19164,0.22816
323,0.22066,0.26402
323,0.2512,0.30124
323,0.2816,0.33881
323,0.31187,0.37602
323,0.34116,0.4123
323,0.37129,0.45025
323,0.40169,0.48862
323,0.43057,0.52971
323,0.46084,0.56834
323,0.49151,0.60775
323,0.52178,0.64649
323,0.55066,0.68397
323,0.58106,0.7241
323,0.61132,0.76388
323,0.64048,0.80271
323,0.67088,0.84388
323,0.70101,0.88432
323,0.73155,0.92624
323,0.76098,0.96725
323,0.79069,1.00812
323,0.82123,1.05054
323,0.84984,1.09244
323,0.88093,1.1363
323,0.91092,1.18035
323,0.94104,1.22383
323,0.97034,1.25982
323,1.00088,1.30132
323,1.24852,1.68094
323,1.49864,2.05808
323,1.74876,2.41864
323,1.99889,2.76366
323,2.24901,3.07926
323,2.49761,3.36583
323,2.74801,3.62487
323,2.99786,3.84778
323,3.24798,4.05292
323,3.49838,4.22614
323,3.74809,4.38462
323,3.9978,4.52662
323,4.24875,4.65604
323,4.49956,4.77042
323,4.74955,4.86424
323,4.99981,4.962
323,5.24952,5.04547
323,5.50033,5.12411
323,5.74907,5.19206
323,5.99906,5.24715
323,6.25291,5.31153
323,6.49917,5.36166
323,6.74929,5.41746
323,6.99914,5.46771
323,7.2494,5.51552
323,7.49938,5.56113
323,7.74951,5.60186
323,7.99949,5.64103
323,8.25072,5.67942
323,8.49987,5.71576
323,8.74958,5.74756
323,8.99915,5.78595
323,9.24817,5.81401
323,9.49774,5.84356
323,9.748,5.8792
323,9.99812,5.90908